iter	Logloss
0	0.6534579443
1	0.6227854274
2	0.5913943364
3	0.5716833728
4	0.5408275266
5	0.5266969765
6	0.5132871146
7	0.4923884923
8	0.4794068338
9	0.4662992094
10	0.4529826591
11	0.4401706727
12	0.4289933245
13	0.4208742314
14	0.4126843926
15	0.3989860105
16	0.3939984461
17	0.3849677988
18	0.3790903191
19	0.371438578
20	0.3659424547
21	0.3594651411
22	0.3532844352
23	0.3463068447
24	0.338253805
25	0.3305567701
26	0.3223186493
27	0.317556261
28	0.3112511254
29	0.3052007094
30	0.2980711402
31	0.2883440697
32	0.2841656549
33	0.2795564984
34	0.2749481162
35	0.2705460485
36	0.2683754987
37	0.2636833365
38	0.2581777758
39	0.2545503462
40	0.2514381383
41	0.2461151728
42	0.2417920319
43	0.2389374352
44	0.2344903924
45	0.2312012427
46	0.2285472117
47	0.2229677613
48	0.2177891115
49	0.2137896658
50	0.2116978719
51	0.2068828738
52	0.2046425845
53	0.2016390585
54	0.1990039676
55	0.1925844887
56	0.1889211882
57	0.1875267462
58	0.1862331353
59	0.1832959229
60	0.1800777975
61	0.178733882
62	0.17627327
63	0.1733353291
64	0.1703618672
65	0.1684842393
66	0.1661301633
67	0.1632128761
68	0.1607114088
69	0.1587432954
70	0.1556243425
71	0.1524531736
72	0.149217044
73	0.1470324718
74	0.14542943
75	0.1417081758
76	0.1408497357
77	0.1377323393
78	0.1352896415
79	0.1340162039
80	0.1324321056
81	0.1308213473
82	0.1290394803
83	0.1260470701
84	0.123657115
85	0.1232667846
86	0.1213022747
87	0.1192261846
88	0.1170912197
89	0.1150500986
90	0.1138171802
91	0.1131481994
92	0.1115067193
93	0.1091188843
94	0.107285558
95	0.1049865542
96	0.1036736429
97	0.1018425622
98	0.1005761708
99	0.0980947652
