iter	Passed	Remaining
0	208	20593
1	283	13907
2	356	11528
3	422	10138
4	492	9357
5	565	8860
6	636	8461
7	714	8213
8	784	7937
9	851	7662
10	925	7484
11	991	7269
12	1057	7079
13	1132	6955
14	1202	6816
15	1274	6690
16	1344	6564
17	1425	6493
18	1504	6411
19	1582	6329
20	1659	6243
21	1727	6125
22	1795	6012
23	1873	5932
24	1942	5828
25	2013	5731
26	2081	5627
27	2152	5535
28	2222	5440
29	2289	5341
30	2354	5240
31	2423	5150
32	2493	5063
33	2563	4976
34	2632	4889
35	2701	4803
36	2769	4715
37	2849	4649
38	2932	4586
39	2999	4499
40	3072	4421
41	3139	4335
42	3217	4264
43	3294	4192
44	3362	4110
45	3432	4029
46	3499	3945
47	3568	3866
48	3635	3783
49	3707	3707
50	3776	3628
51	3849	3552
52	3924	3479
53	3997	3404
54	4073	3333
55	4150	3261
56	4223	3186
57	4310	3121
58	4376	3041
59	4454	2969
60	4540	2903
61	4615	2829
62	4682	2749
63	4751	2672
64	4820	2595
65	4892	2520
66	4966	2446
67	5040	2371
68	5110	2295
69	5181	2220
70	5253	2145
71	5339	2076
72	5405	1999
73	5487	1928
74	5567	1855
75	5646	1782
76	5717	1707
77	5787	1632
78	5864	1558
79	5931	1482
80	6001	1407
81	6068	1332
82	6140	1257
83	6206	1182
84	6273	1107
85	6347	1033
86	6421	959
87	6490	885
88	6571	812
89	6641	737
90	6705	663
91	6776	589
92	6850	515
93	6913	441
94	6986	367
95	7053	293
96	7118	220
97	7185	146
98	7252	73
99	7318	0
